Cert Number,Card Ladder Value
94772003,97.04
122243365,90.73
121345340,126.99
112130704,147.24
127542581,136.04
130174754,147.24
126649366,119.56
93984822,119.56
123714962,116.91
125090621,136.04
76028988,84.79
68276770,122.07
105688832,136.04
93225067,119.56
118504493,682.78
104367440,585.92
62048493,666.27
51666967,680.21
124437786,701.30
95586571,390.32
78999373,467.05
121106435,597.79
67190929,131.88
92930160,294.35
128701086,610.36
101392609,675.21
126869464,101.88
72927716,135.28
65639489,66.94
80360130,101.88
93939692,659.40
120100118,1471.76
129717973,119.56
121495507,131.88
53840308,109.81
75764354,96.56
126955376,60.30
110131521,49.74
126635457,165.09
109980154,119.56
85083409,119.56
118504588,170.15
125566210,48.28
120356842,65.94
127297463,136.56
85313686,127.92
71230153,136.04
123252062,294.35
50762446,54.91
116686611,39.24
95481050,114.70
121994446,65.94
127719326,67.52
55021206,10.63
76064453,24.95
121894458,114.18
117922927,100.63
127651639,96.81
126717338,498.65
126897488,294.35
96404514,119.56
128104206,89.10
115696001,119.56
128023673,597.79
99317671,131.88
95999244,80.70
123595874,736.18
54745356,122.07
127345889,136.56
126664197,136.56
52508926,122.07
128104964,119.56
98398718,122.07
96232720,122.07
116090784,119.56
124317765,83.46
73291643,96.56
125777403,294.35
131959208,80.70
121300934,141.79
124509690,66.52
73106373,119.56
51534923,392.35
123995599,549.05
126438542,1471.76
86556963,659.40
102317066,522.90
123211562,119.56
121823292,136.04
66616995,125.84
128427769,136.04
71137516,125.84
125424632,119.56
99452314,119.56
124962317,131.88
101408021,119.56
119354915,294.35
126699602,131.88
118954496,65.87
100372330,136.56
130365013,119.56
126209207,131.88
126507180,492.88
130226969,136.04
50781436,138.58
84422591,103.20
87182252,119.56
101235256,659.40
103801734,682.78
129278629,131.88
47120051,136.04
117923576,73.59
47806915,61.04
128706133,61.04
127981326,147.24
126354624,119.56
105623676,114.18
126579952,147.18
102845315,147.18
124195395,57.09
65429337,59.78
91631557,61.04
126255712,32.97
58089429,31.16
61712336,29.89
89784655,29.89
99523023,19.93
129175616,36.81
48952548,32.97
127642609,32.97
129215632,32.97
59590528,33.31
63663525,20.51
113969564,28.54
103396450,30.21
129878318,32.97
130170259,131.88
126186864,103.63
70209228,119.56
127816198,65.94
79930046,14.10
126497021,32.97
52867198,29.89
128768070,16.05
124477187,34.01
114792396,68.28
125809002,32.97
124928719,30.32
102382094,32.91
86009260,20.59
125970697,30.32
57436703,30.32
89957319,30.32
118265912,39.75
71025643,30.32
129373708,60.64
47913343,68.36
122577596,31.93
57341158,48.23
127481002,32.91
110493969,30.32
129232564,147.54
128708602,30.32
95882832,60.64
121340335,60.64
119165539,30.32
124526500,32.91
84904891,30.32
124257009,32.91
86898932,30.32
93730489,29.19
135661800,30.32
70738455,34.18
128104450,19.87
96680541,30.32
85657362,26.63
131284746,30.32
99014804,121.27
18520895,121.27
122233551,34.18
127998659,40.55
127158597,30.32
124237903,65.82
92397822,30.32
90840296,997.15
126017383,79.50
124288194,121.27
121497050,172.86
89095911,30.32
126641721,31.68
78293769,29.10
129315105,30.32
128138521,32.91
127816201,32.91
84514416,34.18
125281111,30.32
121586740,27.14
93322016,32.91
100222725,32.91
58690640,30.32
120747277,73.77
131250307,44.58
97405530,24.21
127446815,32.91
119400860,30.32
96637906,23.00
120957100,29.92
117294353,30.32
117346716,32.91
101663782,24.28
126588675,36.61
70850156,30.32
118289226,30.32
60624159,30.32
128213543,27.61
119130573,30.32
77630048,34.18
87315912,32.91
91099637,30.32
121636725,32.91
92599418,30.32
121110889,31.23
133906918,32.91
120163562,30.32
96353784,34.97
119469136,30.32
122085630,32.91
115085680,38.77
127883034,30.32
120639222,60.64
126742169,60.64
121984765,60.64
102928035,86.43
87754725,30.32
127240062,30.32
42372735,30.32
123040106,35.15
120699320,28.23
120550435,32.91
127902180,9.55
130554805,65.82
99802277,60.64
50453106,25.42
118528003,30.32
81278268,30.60
120135194,30.32
127726560,147.54
95271921,60.64
106517121,32.91
126513632,32.91
124119759,32.91
125333193,63.86
127552874,92.70
121923787,60.64
